City,County,State,Min Year,Max Year,Year Difference,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Tucson,Pima,Arizona,2002,2015,13,Tucson,Tucson,AZ,Arizona,4019.0,Pima,32.1541,-110.8787,879871.0,866.2,shape,False,True,America/Phoenix,2.0,85705 85707 85706 85709 85710 85756 85723 85726 85724 85701 85708 85719 85748 85745 85747 85716 85714 85715 85712 85713 85711 85734 85730 85721 85702 85703 85717 85725 85731 85732 85738 85751 85754 85775,1840022101.0
Calexico,Imperial,California,2002,2015,13,Calexico,Calexico,CA,California,6025.0,Imperial,32.6849,-115.4944,38476.0,1754.7,shape,False,True,America/Tijuana,3.0,92231 92232,1840019379.0
New York,Bronx,New York,2002,2015,13,New York,New York,NY,New York,36081.0,Queens,40.6943,-73.9249,18832416.0,10943.7,shape,False,True,America/New_York,1.0,11229 11226 11225 11224 11223 11221 11220 11385 10169 10168 10167 10165 10162 10282 10280 10040 10044 11109 11102 11103 11106 11104 11379 11378 11377 11697 11694 11692 11693 11691 10271 10279 10278 10075 10303 10302 10301 11249 10452 11451 10475 10474 10471 10470 10473 10472 11228 11222 10103 11368 11369 11366 11367 11364 11365 11362 11363 11360 11361 10028 10029 10026 10027 10024 10025 10022 10023 10020 10021 11212 11213 11210 11211 11216 11217 11214 11215 11218 11219 10152 10153 10154 10307 10306 10305 11429 10310 10311 10312 10314 11439 11432 11433 11430 11436 11434 11435 10453 10451 10457 10456 10455 10454 10459 10458 10128 10004 10005 10006 10007 10001 10002 10003 10009 11238 11239 11230 11231 11232 11233 11234 11235 11236 11237 11375 11374 11371 11370 11373 11372 10170 10171 10172 10173 10174 10177 10039 10038 10035 10034 10037 10036 10031 10030 10033 10032 11208 11201 11203 11205 11204 11207 11206 11209 11411 11412 11413 11414 11415 11416 11417 11418 11419 11101 11105 11001 11005 11004 10065 10069 10199 10309 10308 10304 11428 11421 11420 11423 11422 11424 11427 11426 10466 10467 10464 10465 10462 10463 10460 10461 10468 10469 10119 10115 10112 10110 10111 11359 11358 11357 11356 11355 11354 10019 10018 10013 10012 10011 10010 10017 10016 10014 10008 10041 10043 10055 10060 10081 10087 10090 10101 10102 10104 10105 10106 10107 10108 10109 10113 10114 10116 10117 10118 10120 10121 10122 10123 10124 10125 10126 10129 10130 10131 10132 10133 10138 10150 10151 10155 10156 10157 10158 10159 10160 10163 10164 10166 10175 10176 10178 10179 10185 10203 10211 10212 10213 10242 10249 10256 10258 10259 10260 10261 10265 10268 10269 10270 10272 10273 10274 10275 10276 10277 10281 10285 10286 10313 11120 11202 11241 11242 11243 11245 11247 11251 11252 11256 11351 11352 11380 11386 11405 11425 11431 11437 11499 11690 11695,1840034016.0
Dallas,Dallas,Texas,2002,2015,13,Dallas,Dallas,TX,Texas,48113.0,Dallas,32.7935,-96.7667,5843632.0,1477.2,shape,False,True,America/Chicago,1.0,75098 75287 75230 75231 75236 75237 75235 75254 75251 75252 75253 75043 75032 75227 75238 75232 75233 75234 75089 75088 75087 75247 75244 75249 75248 75051 75166 75210 75211 75212 75214 75215 75216 75217 75218 75219 75390 75182 75229 75228 75220 75223 75225 75224 75226 75243 75241 75240 75246 75270 75207 75206 75204 75203 75202 75201 75209 75208 75019 75221 75222 75242 75250 75260 75262 75263 75264 75266 75267 75277 75283 75284 75285 75301 75303 75312 75313 75315 75320 75336 75339 75342 75354 75355 75356 75357 75358 75359 75360 75367 75370 75371 75372 75373 75374 75376 75378 75379 75380 75382 75389 75392 75393 75394 75395 75397 75398,1840019440.0
Dallas,Dallas,Texas,2002,2015,13,Dallas,Dallas,OR,Oregon,41053.0,Polk,44.9221,-123.313,17214.0,1353.2,shape,False,True,America/Los_Angeles,3.0,97338,1840018590.0
Dallas,Dallas,Texas,2002,2015,13,Dallas,Dallas,GA,Georgia,13223.0,Paulding,33.9152,-84.8416,14440.0,699.5,shape,False,True,America/New_York,3.0,30132 30157,1840014757.0
Dallas,Dallas,Texas,2002,2015,13,Dallas,Dallas,NC,North Carolina,37071.0,Gaston,35.3169,-81.183,6012.0,755.3,shape,False,True,America/New_York,3.0,28034,1840016396.0
Dallas,Dallas,Texas,2002,2015,13,Dallas,Dallas,WI,Wisconsin,55005.0,Barron,45.2591,-91.8142,359.0,95.8,shape,False,True,America/Chicago,3.0,54733,1840002073.0
Dallas,Dallas,Texas,2002,2015,13,Dallas,Dallas,SD,South Dakota,46053.0,Gregory,43.2379,-99.5175,102.0,77.7,shape,False,True,America/Chicago,3.0,57529,1840000364.0
Long Beach,Los Angeles,California,2000,2013,13,Long Beach,Long Beach,CA,California,6037.0,Los Angeles,33.7977,-118.167,458491.0,3493.5,shape,False,True,America/Los_Angeles,2.0,90822 90804 90805 90806 90807 90802 90803 90808 90831 90813 90810 90815 90814 90840 90801 90809 90832 90833 90842 90844 90846 90847 90848 90853,1840020490.0
Long Beach,Los Angeles,California,2000,2013,13,Long Beach,Long Beach,NY,New York,36059.0,Nassau,40.5887,-73.666,34741.0,6048.5,shape,False,True,America/New_York,2.0,11561,1840000988.0
Long Beach,Los Angeles,California,2000,2013,13,Long Beach,Long Beach,MS,Mississippi,28047.0,Harrison,30.3608,-89.1651,16876.0,636.1,shape,False,True,America/Chicago,3.0,39560,1840015914.0
Long Beach,Los Angeles,California,2000,2013,13,Long Beach,Long Beach,MD,Maryland,24009.0,Calvert,38.4568,-76.4737,1981.0,457.9,shape,False,False,America/New_York,3.0,20685,1840026725.0
Long Beach,Los Angeles,California,2000,2013,13,Long Beach,Long Beach,WA,Washington,53049.0,Pacific,46.3558,-124.0556,1844.0,516.1,shape,False,True,America/Los_Angeles,3.0,98631,1840019880.0
Long Beach,Los Angeles,California,2000,2013,13,Long Beach,Long Beach,IN,Indiana,18091.0,LaPorte,41.7435,-86.8521,1201.0,444.8,shape,False,True,America/Chicago,3.0,46360,1840029976.0
Long Beach,Los Angeles,California,2000,2013,13,Long Beach,Long Beach,MN,Minnesota,27121.0,Pope,45.6509,-95.4297,302.0,81.8,shape,False,True,America/Chicago,3.0,56334,1840008888.0
Welby,Adams,Colorado,2000,2013,13,Welby,Welby,CO,Colorado,8001.0,Adams,39.8403,-104.9655,16232.0,1692.1,shape,False,False,America/Denver,3.0,80229,1840028449.0
Arden-Arcade,Sacramento,California,2002,2014,12,Arden-Arcade,Arden-Arcade,CA,California,6067.0,Sacramento,38.6017,-121.3845,96319.0,2339.6,shape,False,True,America/Los_Angeles,2.0,95864 95821 95825 95860 95865 95866,1840036690.0
